iter	Passed	Remaining
399	37163	55745
400	37254	55650
401	37344	55552
402	37433	55453
403	37530	55366
404	37615	55262
405	37712	55175
406	37804	55081
407	37896	54986
408	37986	54889
409	38082	54801
410	38166	54696
411	38261	54606
412	38354	54513
413	38444	54416
414	38526	54307
415	38613	54207
416	38702	54109
417	38792	54012
418	38879	53911
419	38972	53819
420	39058	53716
421	39158	53634
422	39246	53534
423	39329	53428
424	39417	53329
425	39511	53238
426	39598	53138
427	39693	53047
428	39794	52966
429	39895	52885
430	39984	52787
431	40072	52688
432	40157	52585
433	40253	52497
434	40344	52401
435	40437	52308
436	40530	52217
437	40613	52111
438	40698	52008
439	40791	51916
440	40884	51823
441	40981	51736
442	41068	51636
443	41166	51550
444	41254	51452
445	41348	51361
446	41441	51268
447	41528	51169
448	41623	51079
449	41718	50989
450	41811	50896
451	41903	50803
452	41995	50709
453	42087	50616
454	42174	50516
455	42272	50430
456	42361	50332
457	42444	50228
458	42544	50144
459	42648	50065
460	42729	49959
461	42808	49850
462	42897	49753
463	42998	49671
464	43105	49594
465	43205	49510
466	43289	49407
467	43382	49314
468	43470	49217
469	43563	49124
470	43648	49023
471	43745	48935
472	43829	48832
473	43930	48749
474	44025	48660
475	44119	48568
476	44219	48483
477	44304	48382
478	44386	48278
479	44465	48170
480	44532	48050
481	44623	47956
482	44725	47874
483	44816	47779
484	44911	47689
485	45000	47592
486	45090	47497
487	45185	47407
488	45295	47332
489	45397	47250
490	45482	47149
491	45572	47054
492	45668	46965
493	45758	46869
494	45849	46775
495	45948	46689
496	46040	46596
497	46133	46504
498	46217	46403
499	46303	46303
500	46404	46219
501	46502	46131
502	46593	46037
503	46674	45933
504	46760	45834
505	46848	45737
506	46945	45648
507	47036	45555
508	47126	45459
509	47215	45363
510	47313	45276
511	47418	45195
512	47513	45105
513	47603	45010
514	47690	44912
515	47784	44820
516	47874	44726
517	47970	44636
518	48063	44544
519	48157	44452
520	48251	44361
521	48333	44259
522	48423	44164
523	48517	44073
524	48606	43977
525	48698	43884
526	48790	43790
527	48877	43693
528	48974	43605
529	49060	43506
530	49160	43420
531	49244	43320
532	49334	43225
533	49432	43137
534	49527	43046
535	49616	42951
536	49716	42865
537	49809	42773
538	49897	42676
539	49984	42579
540	50073	42483
541	50159	42385
542	50255	42295
543	50348	42203
544	50440	42110
545	50527	42013
546	50621	41922
547	50708	41825
548	50804	41735
549	50906	41650
550	50998	41557
551	51091	41465
552	51193	41380
553	51279	41283
554	51371	41190
555	51469	41101
556	51563	41009
557	51645	40909
558	51739	40817
559	51826	40720
560	51930	40637
561	52025	40546
562	52106	40444
563	52198	40352
564	52303	40269
565	52384	40167
566	52473	40072
567	52566	39980
568	52651	39882
569	52736	39783
570	52814	39680
571	52906	39587
572	53005	39499
573	53107	39414
574	53193	39316
575	53286	39224
576	53370	39126
577	53461	39032
578	53551	38937
579	53640	38842
580	53729	38748
581	53819	38653
582	53917	38565
583	54017	38478
584	54118	38391
585	54210	38298
586	54300	38204
587	54391	38111
588	54484	38019
589	54569	37921
590	54655	37824
591	54743	37728
592	54847	37643
