iter	Logloss
318	0.441208344
319	0.4411870059
320	0.4411450442
321	0.4411117922
322	0.4410741354
323	0.4410313048
324	0.4409978666
325	0.4409687558
326	0.4409342517
327	0.4409102697
328	0.4408712007
329	0.4408504793
330	0.440833289
331	0.4408047411
332	0.44078491
333	0.440760355
334	0.4407249135
335	0.4406968627
336	0.4406779671
337	0.4406546998
338	0.4406227696
339	0.44058681
340	0.4405497384
341	0.4405115611
342	0.4404777371
343	0.440447093
344	0.440419594
345	0.4403812151
346	0.4403346306
347	0.4403045591
348	0.4402772236
349	0.4402446584
350	0.440222793
351	0.4402015326
352	0.4401696646
353	0.4401477632
354	0.4401232277
355	0.4400903758
356	0.4400652694
357	0.4400431891
358	0.4400096881
359	0.4399688479
360	0.4399456552
361	0.4399214448
362	0.439881419
363	0.4398436976
364	0.4398205339
365	0.4397816703
366	0.439766662
367	0.4397424088
368	0.4397012973
369	0.4396620931
370	0.4396238216
371	0.4395955402
372	0.4395633368
373	0.4395356454
374	0.4395051381
375	0.4394740625
376	0.4394443668
377	0.4394134907
378	0.4393759053
379	0.4393486257
380	0.439329287
381	0.4393092146
382	0.4392834767
383	0.4392477703
384	0.4392273777
385	0.439206074
386	0.4391776042
387	0.439143206
388	0.4391082094
389	0.4390720023
390	0.4390398878
391	0.4389939305
392	0.4389462811
393	0.4389011525
394	0.4388712378
395	0.4388397468
396	0.4388150848
397	0.438781423
398	0.4387682785
399	0.43872194
400	0.4386942148
401	0.4386749156
402	0.438643486
403	0.4386044296
404	0.4385884292
405	0.4385728939
406	0.4385544333
407	0.4385311538
408	0.4385131618
409	0.4384847809
410	0.4384516334
411	0.4384268765
412	0.4383905336
413	0.438354554
414	0.4383209387
415	0.4383018064
416	0.4382650574
417	0.4382225808
418	0.4381952866
419	0.4381689344
420	0.4381435358
421	0.4381159554
422	0.4381050075
423	0.4380734505
424	0.4380540531
425	0.4380336688
426	0.4380056673
427	0.4379728439
428	0.4379492724
429	0.4379234691
430	0.4378998315
431	0.437871025
432	0.4378490013
433	0.437826556
434	0.4377981626
435	0.4377749988
436	0.437748993
437	0.4377035633
438	0.4376778135
439	0.4376576323
440	0.4376263231
441	0.4376066608
442	0.4375848452
443	0.4375691238
444	0.4375436609
445	0.4375225417
446	0.4375030125
447	0.437472573
448	0.437436721
449	0.4374133478
450	0.4373744774
451	0.4373542881
452	0.43732943
453	0.4373027067
454	0.4372649806
455	0.4372401364
456	0.4372123206
457	0.4371929097
458	0.4371597106
459	0.4371203544
460	0.4370802444
461	0.4370387867
462	0.4369929248
463	0.4369596748
464	0.4369255528
465	0.4369101016
466	0.4368902349
467	0.4368629755
468	0.4368327541
469	0.436811543
470	0.4367858139
471	0.4367483878
472	0.436707642
473	0.4366925834
474	0.4366664746
475	0.4366336053
476	0.436597527
477	0.4365616377
478	0.4365208775
479	0.4365068441
480	0.4364663402
481	0.4364321864
482	0.4364090942
483	0.4363851189
484	0.4363722018
485	0.4363464889
486	0.4363244821
487	0.4362888778
488	0.4362599685
489	0.4362291163
490	0.4362120265
491	0.4361827475
492	0.4361561013
493	0.4361340741
494	0.4361036293
495	0.4360672711
496	0.4360392834
497	0.4360050726
498	0.4359834458
499	0.4359675457
500	0.4359497112
501	0.4359208246
502	0.4358907662
503	0.4358675068
504	0.435839614
505	0.4358113877
506	0.4357687758
507	0.4357513683
508	0.435732723
509	0.4357041364
510	0.435682223
511	0.4356649289
512	0.4356453312
513	0.4356322868
514	0.435610997
515	0.4355750951
516	0.4355579588
517	0.4355345436
518	0.4355074882
519	0.4354724428
520	0.4354520453
521	0.435434474
522	0.4354060067
523	0.4353784302
524	0.4353466779
525	0.4353053213
526	0.4352756254
527	0.4352376469
528	0.435222531
529	0.4352058002
530	0.4351765909
531	0.4351550213
532	0.4351176034
533	0.4350860148
534	0.4350632537
535	0.4350400302
536	0.4350157123
537	0.4349859115
538	0.4349696621
539	0.4349374508
540	0.434923493
541	0.4349021499
542	0.4348818456
543	0.4348674041
544	0.4348541513
545	0.4348177577
546	0.434797345
547	0.4347644121
548	0.4347377747
549	0.4346995947
550	0.4346791475
551	0.4346518735
552	0.4346243312
553	0.4345934518
554	0.4345769643
555	0.434564997
556	0.4345344311
557	0.4345242208
558	0.4344865682
559	0.4344699816
560	0.4344421868
561	0.4344182458
562	0.4343977278
563	0.4343633824
564	0.4343415727
565	0.4343102601
566	0.4342697976
567	0.4342371983
568	0.4342196226
569	0.4341853205
570	0.4341626027
571	0.4341418306
572	0.4341276286
573	0.4341096489
574	0.4340891627
575	0.4340573724
576	0.4340285182
577	0.4340085088
578	0.433986247
579	0.4339508683
580	0.4339145926
581	0.4338820867
582	0.4338467419
583	0.4338265019
584	0.4338064037
585	0.4337908599
586	0.4337664448
587	0.43375035
588	0.4337313895
589	0.4336971854
590	0.433678415
591	0.4336487744
592	0.4336231029
593	0.4335958823
594	0.4335706274
595	0.4335474944
596	0.4335308162
597	0.4335186912
598	0.4334922508
599	0.4334552581
600	0.4334392506
601	0.4334121673
602	0.4333840093
603	0.4333623898
604	0.4333319661
605	0.4333114168
606	0.4332954393
607	0.4332734183
608	0.4332429122
609	0.4332131725
610	0.4331908524
611	0.4331592401
612	0.433127477
613	0.4331073073
614	0.4330780742
615	0.4330467772
616	0.43301947
617	0.4329966153
618	0.4329711457
619	0.4329604588
620	0.432943228
621	0.4329094078
622	0.4328925638
623	0.4328582689
624	0.4328472563
625	0.4328134022
626	0.4327866426
627	0.4327647539
628	0.4327412665
629	0.4327262082
630	0.4327128715
631	0.4326853456
632	0.4326602834
633	0.4326339917
634	0.4326192702
635	0.4325885991
636	0.4325763915
637	0.4325567755
638	0.432529005
639	0.4325033887
640	0.4324770594
641	0.4324498648
642	0.4324226958
643	0.4323981002
644	0.4323623863
645	0.4323411119
646	0.4323135112
647	0.4323031232
648	0.432286967
649	0.4322577678
650	0.4322384773
651	0.4322187121
652	0.4322018621
653	0.4321879574
654	0.4321633773
655	0.4321552519
656	0.4321328039
657	0.4321139356
658	0.4320970434
659	0.4320696855
660	0.4320498758
661	0.4320392068
662	0.432011535
663	0.4319821244
664	0.4319649616
665	0.4319330442
666	0.4319048978
667	0.4318768584
668	0.4318571688
669	0.4318357765
670	0.431818639
671	0.431796783
672	0.4317591501
673	0.4317372711
674	0.4317100678
675	0.4316898881
676	0.4316577839
677	0.4316363644
678	0.4316176477
679	0.4315946927
680	0.4315839356
681	0.4315556079
682	0.4315351246
683	0.431518248
684	0.4315051229
685	0.4314694445
686	0.4314525686
687	0.4314323271
688	0.431405887
689	0.4313804037
690	0.4313685819
691	0.4313566129
692	0.4313285554
693	0.4313011218
694	0.4312859501
695	0.4312512022
696	0.4312332394
697	0.4312118739
698	0.4311884943
699	0.4311612173
700	0.4311405795
701	0.4311256559
702	0.4311020563
703	0.431080554
704	0.4310559294
705	0.431036362
706	0.4310102891
707	0.430991514
708	0.4309788698
709	0.4309543682
710	0.4309290783
711	0.43091003
712	0.4308900004
713	0.4308533007
714	0.4308351174
715	0.4307992218
716	0.430779998
717	0.4307601966
718	0.4307346698
719	0.4307110247
720	0.4306937009
721	0.4306792638
722	0.4306677543
723	0.4306459267
724	0.430632963
725	0.4306058922
726	0.4305845828
727	0.4305688344
728	0.4305445749
729	0.4305190256
730	0.4304984565
731	0.4304653784
732	0.4304424859
733	0.4304123031
734	0.430373003
735	0.4303567874
736	0.4303323458
737	0.4303118288
738	0.430295553
739	0.4302734817
740	0.4302525323
741	0.4302316371
742	0.4302126274
743	0.4301902946
744	0.4301745256
745	0.4301592881
746	0.4301349018
747	0.4301092525
748	0.4300702793
749	0.4300606305
750	0.4300311348
751	0.4299935158
752	0.4299730026
753	0.4299480765
754	0.4299254346
755	0.4298852332
756	0.429857269
757	0.4298253814
758	0.4298072634
759	0.4297728782
760	0.4297460519
761	0.4297198638
762	0.4297072664
763	0.4296920544
764	0.4296734197
765	0.4296460456
766	0.4296155202
767	0.4295941018
768	0.4295806566
769	0.42956101
770	0.4295460884
771	0.4295200932
772	0.4295045386
773	0.4294907298
774	0.4294593202
775	0.4294246695
776	0.4294051938
777	0.4293906464
778	0.4293667127
779	0.4293464856
780	0.4293243998
781	0.4293045569
782	0.4292849185
783	0.4292560033
784	0.4292355216
785	0.4292133266
786	0.4291933855
787	0.4291697149
788	0.4291425384
789	0.4291172498
790	0.4290888108
791	0.4290689332
792	0.4290536819
793	0.4290283332
794	0.4289942071
795	0.4289785869
796	0.4289602425
797	0.428938695
798	0.4289191348
799	0.4288970919
800	0.4288864906
801	0.4288477144
802	0.4288315378
803	0.4288152993
804	0.4288001934
805	0.4287596779
806	0.4287393275
807	0.4287180165
808	0.4286964721
809	0.4286834093
810	0.4286605218
811	0.4286369955
812	0.4286164767
813	0.4285970028
814	0.42857669
815	0.4285423785
816	0.4285223327
817	0.4285071575
818	0.4284725533
819	0.4284554692
820	0.4284333955
821	0.4284208256
822	0.4283937652
823	0.4283654888
824	0.4283431621
825	0.4283262983
826	0.4283128262
827	0.4282975512
828	0.4282622859
829	0.4282453516
830	0.4282220762
831	0.428207086
832	0.4281807404
833	0.4281532322
834	0.4281376473
835	0.4281179533
836	0.4280976813
837	0.4280721358
838	0.4280497371
839	0.4280330445
840	0.4280078392
841	0.4279890304
842	0.4279647789
843	0.4279462239
844	0.4279404839
845	0.4279184111
846	0.4278915295
847	0.4278799738
848	0.4278566534
849	0.4278270483
850	0.4278117908
851	0.4277884359
852	0.427776391
853	0.4277523321
854	0.4277345726
855	0.4277149114
856	0.4276947693
857	0.4276804132
858	0.4276681012
859	0.4276515993
860	0.4276288435
861	0.4276111563
862	0.4275931047
863	0.4275761353
864	0.4275369096
865	0.4275029953
866	0.42748661
867	0.427454559
868	0.4274325739
869	0.4274145475
870	0.4273988368
871	0.4273817123
872	0.4273546402
873	0.4273189632
874	0.4273000342
875	0.4272835083
876	0.4272545322
877	0.4272213454
878	0.427200468
879	0.4271736414
880	0.4271500118
881	0.4271339686
882	0.4271038525
883	0.4270908941
884	0.4270535796
885	0.4270360371
886	0.427021498
887	0.4270051735
888	0.4269958947
889	0.4269846366
890	0.4269634546
891	0.4269468663
892	0.4269303165
893	0.4269065853
894	0.4268828319
895	0.4268644627
896	0.4268453635
897	0.4268252235
898	0.4268137143
899	0.4268021161
900	0.4267816894
901	0.4267564792
902	0.4267202383
903	0.4266971256
904	0.4266699942
905	0.4266537171
906	0.4266249217
907	0.4265978538
908	0.4265810689
909	0.4265490137
910	0.4265281399
911	0.4265095072
912	0.4264773222
913	0.4264567112
914	0.4264425709
915	0.42641908
916	0.4263997324
917	0.4263811081
918	0.4263606593
919	0.4263474658
920	0.4263379112
921	0.4263204413
922	0.4263016306
923	0.4262708007
924	0.4262441232
925	0.4262219663
926	0.4262046219
927	0.4261917795
928	0.4261699126
929	0.4261521477
930	0.426135601
931	0.4261193613
932	0.4261037005
933	0.4260908137
934	0.4260793389
935	0.4260701062
936	0.4260292048
937	0.4260128404
938	0.4259938039
939	0.4259753946
940	0.4259563589
941	0.4259393103
942	0.4259081977
943	0.4258892941
944	0.4258808992
945	0.4258540071
946	0.425840365
947	0.4258153268
948	0.4258015192
949	0.4257753951
950	0.4257577471
951	0.4257392122
952	0.4257232241
953	0.4256952908
954	0.4256653967
955	0.4256403473
956	0.4256119032
957	0.4255903615
958	0.4255634816
959	0.4255457966
960	0.4255343557
961	0.4255129321
962	0.4254995057
963	0.4254791926
964	0.4254618136
965	0.4254487908
966	0.4254296231
967	0.4253974407
968	0.4253734707
969	0.4253490673
970	0.4253251063
971	0.4253080813
972	0.4252843574
973	0.4252584134
974	0.4252462371
975	0.4252369021
976	0.42521551
977	0.4251929231
978	0.4251744517
979	0.425151394
980	0.4251236038
981	0.4251140552
982	0.4250984773
983	0.425081262
984	0.4250641863
985	0.4250396727
986	0.4250196927
987	0.4249815131
988	0.4249677106
989	0.4249522693
990	0.4249240542
991	0.4249152569
992	0.4248813548
993	0.4248614131
994	0.4248444296
995	0.4248254923
996	0.424808198
997	0.4247920842
998	0.4247734337
999	0.4247505503
